team_name,year,win_times,sum_score,sum_rebs,sum_assit
DAL,1993,11,8145,3534,1681
DAL,1994,24,8030,3577,1751
DAL,1995,31,8510,4048,1951
DAL,1996,28,8255,3552,1901
DAL,1997,19,7569,3404,1590
DAL,1998,15,4823,2097,1000
DAL,1999,28,7611,3335,1584
DAL,2000,51,8419,3436,1806
DAL,2001,54,8197,3382,1752
DAL,2002,61,8630,3554,1786
DAL,2003,53,8410,3541,1862
DAL,2004,53,8471,3620,1813
DAL,2005,61,8479,3490,1610
DAL,2006,62,8201,3473,1563
DAL,2007,63,8277,3438,1657
DAL,2008,50,8210,3638,1755
DAL,2009,53,8473,3495,1841
DAL,2010,57,8188,3317,1920
DAL,2011,34,5554,2246,1306
DAL,2012,47,8982,3957,1969
DAL,2013,47,8463,3414,1961
DAL,2014,54,8996,3477,1973
DAL,2015,46,8283,3488,1777
DAL,2016,23,5116,2131,1113
DEN,1985,19,3629,1336,797
DEN,1986,41,9273,3549,2128
DEN,1987,40,9240,3556,2309
DEN,1988,55,9930,3654,2324
DEN,1989,46,9543,3773,2263
DEN,1990,30,9659,3732,2306
DEN,1991,26,8969,3998,1637
DEN,1992,19,8067,3582,1665
DEN,1993,43,8618,3883,1739
DEN,1994,42,8377,3538,1766
DEN,1995,40,8387,3561,1928
DEN,1996,30,7958,3529,1873
DEN,1997,15,7682,3371,1685
DEN,1998,9,4785,2035,1056
DEN,1999,29,7421,3282,1550
DEN,2000,36,8405,3760,2062
DEN,2001,34,7591,3538,1884
DEN,2002,23,7265,3415,1755
DEN,2003,30,7616,3642,1854
DEN,2004,38,7595,3257,1756
DEN,2005,49,8482,3587,2030
DEN,2006,46,8153,3288,1858
DEN,2007,47,8846,3666,1950
DEN,2008,53,9255,3616,2058
DEN,2009,53,8587,3380,1757
DEN,2010,51,8611,3345,1696
DEN,2011,34,5931,2336,1249
DEN,2012,53,9709,4162,2228
DEN,2013,54,8439,3579,1904
DEN,2014,35,8812,3827,1869
DEN,2015,29,8336,3660,1856
DEN,2016,21,5091,2198,1124
DET,1985,15,3706,1464,878
DET,1986,48,8476,3554,2040
DET,1987,53,9079,3774,2045
DET,1988,56,8972,3688,2061
DET,1989,61,8885,3772,2033
DET,1990,60,8636,3633,2038
DET,1991,46,8208,3760,1807
DET,1992,47,7640,3419,1815
DET,1993,34,8278,3560,1900
DET,1994,21,7940,3242,1763
DET,1995,34,8282,3325,1876
DET,1996,53,7736,3291,1552
DET,1997,46,7832,3346,1616
DET,1998,23,4902,2069,1019
DET,1999,44,7516,3225,1627
DET,2000,40,8442,3539,1710
DET,2001,34,7510,3422,1606
DET,2002,55,7790,3320,1785
DET,2003,49,7636,3479,1600
DET,2004,50,7067,3358,1668
DET,2005,63,7927,3504,1886
DET,2006,58,7987,3393,1894
DET,2007,59,8139,3368,1914
DET,2008,54,7746,3342,1727
DET,2009,31,7805,3502,1603
DET,2010,27,7929,3236,1710
DET,2011,20,5153,2058,1144
DET,2012,35,8780,3937,1821
DET,2013,32,7943,3486,1743
DET,2014,23,7964,3659,1684
DET,2015,42,8448,3849,1744
DET,2016,26,5015,2231,983
GSW,1985,12,3722,1441,803
GSW,1986,35,8974,3489,1943
GSW,1987,29,8281,3221,1925
GSW,1988,27,8972,3563,1987
GSW,1989,42,9884,3785,2100
GSW,1990,42,9827,3432,2021
GSW,1991,48,9410,3384,1916
GSW,1992,51,9775,3607,2088
GSW,1993,33,8536,3558,1980
GSW,1994,46,9027,3503,2223
GSW,1995,28,8817,3538,2022
GSW,1996,35,8153,3410,1865
GSW,1997,26,7772,3530,1755
GSW,1998,12,4763,2427,1117
GSW,1999,27,7161,3728,1699
GSW,2000,23,7964,3715,1852
GSW,2001,19,7526,3856,1734
GSW,2002,21,8157,3792,1695
GSW,2003,40,8212,3706,1747
GSW,2004,34,7622,3457,1648
GSW,2005,40,8435,3549,1866
GSW,2006,33,8372,3491,1801
GSW,2007,45,8822,3480,1918
GSW,2008,39,9210,3613,1781
GSW,2009,28,8658,3158,1699
GSW,2010,30,8841,3323,1892
GSW,2011,25,5584,2173,1207
GSW,2012,42,9238,3829,2093
GSW,2013,46,8549,3804,1901
GSW,2014,56,8397,3528,1937
GSW,2015,72,9424,3814,2379
GSW,2016,43,5771,2287,1458
HOU,1985,20,3776,1550,868
HOU,1986,42,8504,3392,2194
HOU,1987,45,8565,3625,2076
HOU,1988,50,9429,3995,2017
HOU,1989,39,8801,3780,2106
HOU,1990,45,8738,3785,2119
HOU,1991,52,8563,3720,1888
HOU,1992,40,7991,3312,1987
HOU,1993,65,8813,3668,2200
HOU,1994,52,8242,3476,2071
HOU,1995,51,8877,3454,2075
HOU,1996,50,8306,3384,2023
HOU,1997,48,7860,3296,1855
HOU,1998,26,5447,2242,1224
HOU,1999,41,7650,3430,1692
HOU,2000,38,7954,3419,1701
HOU,2001,40,8043,3571,1617
HOU,2002,36,7527,3462,1462
HOU,2003,43,7610,3593,1513
HOU,2004,43,7375,3385,1615
HOU,2005,46,7552,3424,1627
HOU,2006,43,7878,3607,1728
HOU,2007,48,7949,3562,1722
HOU,2008,61,8211,3699,1767
HOU,2009,52,8165,3493,1731
HOU,2010,38,8470,3410,1835
HOU,2011,29,5682,2320,1275
HOU,2012,49,9367,3965,2019
HOU,2013,49,9000,3751,1882
HOU,2014,55,8367,3558,1690
HOU,2015,50,8935,3668,1925
HOU,2016,25,5193,2068,1095
IND,1985,9,3118,1399,765
IND,1986,31,8451,3672,2139
IND,1987,40,8426,3420,2086
IND,1988,30,8644,3561,1932
IND,1989,42,8945,3518,2111
IND,1990,34,9062,3372,2017
IND,1991,42,9415,3518,2337
IND,1992,41,8838,3636,2251
IND,1993,38,8389,3547,2028
IND,1994,54,8272,3431,2053
IND,1995,50,8278,3271,1933
IND,1996,50,8050,3521,1855
IND,1997,45,7986,3369,1853
IND,1998,39,5098,2043,1192
IND,1999,53,7688,3240,1671
IND,2000,49,8233,3539,1816
IND,2001,46,7945,3631,1950
IND,2002,47,7756,3472,1777
IND,2003,48,7802,3625,1895
IND,2004,53,7169,3147,1607
IND,2005,44,7541,3264,1461
IND,2006,43,8231,3680,1819
IND,2007,33,8117,3536,1751
IND,2008,31,8381,3504,1804
IND,2009,35,8456,3526,1687
IND,2010,37,8261,3406,1771
