team_name,year,win_times,sum_score,sum_rebs,sum_assit
UTA,1987,39,8686,3600,2249
UTA,1988,50,8965,3674,2358
UTA,1989,53,8508,3521,2099
UTA,1990,55,8825,3499,2259
UTA,1991,54,8856,3491,2280
UTA,1992,54,8330,3406,2053
UTA,1993,49,8769,3493,2224
UTA,1994,52,8464,3415,2183
UTA,1995,61,8777,3361,2255
UTA,1996,57,8281,3390,2142
UTA,1997,61,8466,3349,2172
UTA,1998,43,5366,2119,1345
UTA,1999,55,7300,3174,1868
UTA,2000,57,8290,3445,2173
UTA,2001,49,7938,3446,2087
UTA,2002,45,7736,3417,1976
UTA,2003,47,7756,3411,2011
UTA,2004,36,7290,3321,1720
UTA,2005,29,7424,3362,1743
UTA,2006,49,8051,3496,1903
UTA,2007,46,8636,3501,2110
UTA,2008,56,8569,3363,2138
UTA,2009,47,8369,3291,2028
UTA,2010,57,8650,3456,2148
UTA,2011,18,5218,2110,1215
UTA,2012,50,9367,4117,2082
UTA,2013,38,8038,3483,1824
UTA,2014,26,7719,3316,1630
UTA,2015,41,7728,3582,1536
UTA,2016,26,5003,2226,1005
WAS,1997,16,3114,1372,772
WAS,1998,26,4855,2090,1128
WAS,1999,28,7336,3335,1686
WAS,2000,25,7916,3453,1773
WAS,2001,29,7618,3380,1630
WAS,2002,35,7681,3407,1711
WAS,2003,31,7247,3310,1555
WAS,2004,32,7781,3494,1573
WAS,2005,42,8241,3472,1505
WAS,2006,47,8753,3421,1593
WAS,2007,39,8232,3412,1642
WAS,2008,34,8048,3351,1654
WAS,2009,23,8007,3367,1568
WAS,2010,24,7889,3369,1623
WAS,2011,15,5247,2259,1024
WAS,2012,24,8417,3874,1782
WAS,2013,39,7948,3494,1862
WAS,2014,52,8571,3616,2025
WAS,2015,38,8018,3540,1898
WAS,2016,27,5490,2210,1305
